219,南华大学,湖南
220,长江大学,湖北
220,重庆理工大学,重庆
220,武汉轻工大学,湖北
220,云南师范大学,云南
224,闽南师范大学,福建
224,山西财经大学,山西
226,河南工业大学,河南
226,湖州师范学院,浙江
226,西安邮电大学,陕西
229,广西民族大学,广西
229,湖北经济学院,湖北
229,山西师范大学,山西
229,苏州科技大学,江苏
229,天津科技大学,天津
234,湖北第二师范学院,湖北
234,吉林师范大学,吉林
234,郑州师范学院,河南
237,哈尔滨理工大学,黑龙江
237,河北农业大学,河北
237,吉首大学,湖南
240,北京信息科技大学,北京
240,西北师范大学,甘肃
240,浙江外国语学院,浙江
240,中北大学,山西
244,贵州大学,贵州
244,湖南商学院,湖南
246,河南财经政法大学,河南
246,淮北师范大学,安徽
246,沈阳农业大学,辽宁
246,浙江海洋大学,浙江
250,东莞理工学院,广东
250,湖北师范大学,湖北
250,昆明理工大学,云南
250,西南民族大学,四川
254,上海第二工业大学,上海
254,上海应用技术大学,上海
256,绍兴文理学院,浙江
257,东北电力大学,吉林
257,桂林电子科技大学,广西
257,浙江传媒学院,浙江
260,河北经贸大学,河北
260,河南农业大学,河南
262,东北石油大学,黑龙江
262,石河子大学,新疆
264,兰州理工大学,甘肃
265,广西财经学院,广西
265,西安工业大学,陕西
265,浙江科技学院,浙江
268,安徽理工大学,安徽
268,大连民族大学,辽宁
268,新疆大学,新疆
268,烟台大学,山东
268,延边大学,吉林
273,长沙学院,湖南
273,大连交通大学,辽宁
275,吉林财经大学,吉林
275,青岛理工大学,山东
275,上海工程技术大学,上海
275,西安科技大学,陕西
279,长春工业大学,吉林
279,桂林理工大学,广西
279,河南科技大学,河南
279,淮阴师范学院,江苏
279,西南科技大学,四川
284,佛山科学技术学院,广东
284,南京工程学院,江苏
284,宁夏大学,宁夏
287,广东技术师范大学,广东
287,河北工程大学,河北
287,黄冈师范学院,湖北
287,南京晓庄学院,江苏
287,沈阳建筑大学,辽宁
287,西安工程大学,陕西
293,大理大学,云南
293,大连大学,辽宁
295,湖北民族大学,湖北
295,华东交通大学,江西
295,嘉兴学院,浙江
295,闽江学院,福建
295,青海大学,青海
300,大连工业大学,辽宁
300,河北地质大学,河北
300,天津商业大学,天津
300,玉林师范学院,广西
300,中国人民武装警察部队学院,河北
305,北京印刷学院,北京
305,广东金融学院,广东
305,南宁师范大学,广西
305,沈阳师范大学,辽宁
305,厦门理工学院,福建
310,成都信息工程大学,四川
310,沈阳工业大学,辽宁
310,云南财经大学,云南
313,安徽建筑大学,安徽
313,哈尔滨商业大学,黑龙江
313,黑龙江工程学院,黑龙江
313,湖北工程学院,湖北
313,江苏理工学院,江苏
313,郑州轻工业大学,河南
319,长春师范大学,吉林
319,湖南第一师范学院,湖南
319,吉林农业大学,吉林
319,太原科技大学,山西
319,太原师范学院,山西
324,常熟理工学院,江苏
324,广东石油化工学院,广东
324,海南师范大学,海南
324,华北水利水电大学,河南
324,宁波工程学院,浙江
324,西安石油大学,陕西
324,西华大学,四川
331,河北科技师范学院,河北
331,湖南城市学院,湖南
331,内蒙古工业大学,内蒙古
331,山东农业大学,山东
331,延安大学,陕西
336,大连海洋大学,辽宁
336,广东第二师范学院,广东
336,河北北方学院,河北
336,五邑大学,广东
336,西安财经大学,陕西
341,重庆文理学院,重庆
341,贵州师范学院,贵州
343,宝鸡文理学院,陕西
343,南昌航空大学,江西
343,山西大同大学,山西
343,山西农业大学,山西
343,信阳师范学院,河南
348,广东海洋大学,广东
349,湖南工程学院,湖南
350,山东理工大学,山东
351,北华航天工业学院,河北
351,湖北汽车工业学院,湖北
351,湖南理工学院,湖南
351,浙江大学城市学院,浙江
355,聊城大学,山东
355,中国民用航空飞行学院,四川
357,安徽工程大学,安徽
357,北华大学,吉林
357,辽宁工程技术大学,辽宁
357,南阳师范学院,河南
357,盐城师范学院,江苏
362,成都大学,四川
362,福建工程学院,福建
362,陕西理工大学,陕西
365,兰州城市学院,甘肃
365,鲁东大学,山东
365,武汉体育学院,湖北
365,徐州工程学院,江苏
369,黑龙江科技大学,黑龙江
369,湖北科技学院,湖北
369,湖北文理学院,湖北
372,北京联合大学,北京
372,江苏第二师范学院,江苏
372,江西科技师范大学,江西
372,江西理工大学,江西
372,齐齐哈尔大学,黑龙江
372,韶关学院,广东
372,西安文理学院,陕西
379,长春大学,吉林
379,洛阳理工学院,河南
379,山东建筑大学,山东
382,沈阳理工大学,辽宁
382,盐城工学院,江苏
384,北京农学院,北京
384,河南科技学院,河南
384,洛阳师范学院,河南
384,内江师范学院,四川
384,沈阳化工大学,辽宁
384,忻州师范学院,山西
384,运城学院,山西
391,甘肃农业大学,甘肃
391,广东财经大学,广东
391,湖南财政经济学院,湖南
391,湖南文理学院,湖南
391,金陵科技学院,江苏
391,岭南师范学院,广东
391,内蒙古农业大学,内蒙古
391,齐鲁工业大学,山东
391,上海电机学院,上海
391,上海体育学院,上海
401,辽宁科技大学,辽宁
401,青岛农业大学,山东
401,新疆师范大学,新疆
401,仲恺农业工程学院,广东
405,安康学院,陕西
405,赣南师范大学,江西
405,淮海工学院,江苏
405,临沂大学,山东
405,泉州师范学院,福建
405,唐山学院,河北
405,通化师范学院,吉林
412,北京服装学院,北京
412,合肥学院,安徽
412,江西农业大学,江西
412,沈阳大学,辽宁
416,湖北理工学院,湖北
416,淮阴工学院,江苏
416,曲靖师范学院,云南
419,安庆师范大学,安徽
419,惠州学院,广东
419,佳木斯大学,黑龙江
422,鞍山师范学院,辽宁
422,衡阳师范学院,湖南
422,沈阳工程学院,辽宁
422,石家庄学院,河北
422,四川轻化工大学,四川
422,肇庆学院,广东
428,黄山学院,安徽
428,皖西学院,安徽
430,安阳师范学院,河南
430,北京石油化工学院,北京
430,龙岩学院,福建
430,内蒙古科技大学,内蒙古
434,河南工程学院,河南
434,天津城建大学,天津
436,北部湾大学,广西
437,长江师范学院,重庆
437,吉林化工学院,吉林
437,吉林建筑大学,吉林
437,景德镇陶瓷大学,江西
437,云南民族大学,云南
442,辽宁石油化工大学,辽宁
443,广西科技大学,广西
443,哈尔滨学院,黑龙江
443,山东工商学院,山东
443,太原工业学院,山西
443,郑州航空工业管理学院,河南
448,常州工学院,江苏
448,重庆科技学院,重庆
448,华北科技学院,河北
448,廊坊师范学院,河北
448,内蒙古民族大学,内蒙古
448,西南林业大学,云南
448,咸阳师范学院,陕西
448,湘南学院,湖南
448,云南农业大学,云南
457,北方民族大学,宁夏
458,贵州师范大学,贵州
458,天津农学院,天津
460,福建江夏学院,福建
460,合肥师范学院,安徽
460,青海师范大学,青海
463,重庆第二师范学院,重庆
463,丽水学院,浙江
463,南昌工程学院,江西
463,齐鲁师范学院,山东
463,天津职业技术师范大学,天津
463,新乡学院,河南
469,内蒙古师范大学,内蒙古
469,渭南师范学院,陕西
471,河南牧业经济学院,河南
471,井冈山大学,江西
473,韩山师范学院,广东
473,河南城建学院,河南
473,贺州学院,广西
473,西北民族大学,甘肃
473,邢台学院,河北
478,安阳工学院,河南
478,贵州财经大学,贵州
478,河西学院,甘肃
478,昆明学院,云南
478,乐山师范学院,四川
483,山东交通学院,山东
483,玉溪师范学院,云南
485,东华理工大学,江西
485,嘉应学院,广东
485,荆楚理工学院,湖北
485,商洛学院,陕西
489,贵州民族大学,贵州
489,黑龙江八一农垦大学,黑龙江
489,绵阳师范学院,四川
489,牡丹江师范学院,黑龙江
489,浙江万里学院,浙江
494,防灾科技学院,河北
494,宜宾学院,四川
494,中原工学院,河南
497,周口师范学院,河南
498,重庆三峡学院,重庆
498,济宁学院,山东
498,泰山学院,山东
498,西安航空学院,陕西
498,浙江水利水电学院,浙江
503,辽东学院,辽宁
503,新疆农业大学,新疆
505,滨州学院,山东
506,长春工程学院,吉林
507,赤峰学院,内蒙古
507,南阳理工学院,河南
509,成都工业学院,四川
509,四川文理学院,四川
509,天水师范学院,甘肃
512,黄淮学院,河南
512,铜陵学院,安徽
514,湖南工学院,湖南
514,湖南科技学院,湖南
514,九江学院,江西
514,邵阳学院,湖南
514,许昌学院,河南
519,西藏大学,西藏
520,桂林航天工业学院,广西
520,衢州学院,浙江
520,商丘师范学院,河南
520,铜仁学院,贵州
524,红河学院,云南
524,怀化学院,湖南
524,塔里木大学,新疆
527,池州学院,安徽
528,滁州学院,安徽
529,安徽科技学院,安徽
529,贵阳学院,贵州
529,潍坊学院,山东
529,宜春学院,江西
533,淮南师范学院,安徽
534,楚雄师范学院,云南
534,贵州理工学院,贵州
536,巢湖学院,安徽
537,德州学院,山东
538,攀枝花学院,四川
539,伊犁师范大学,新疆
539,榆林学院,陕西
541,陇东学院,甘肃
542,西京学院,陕西
543,邯郸学院,河北
544,海南热带海洋学院,海南
544,莆田学院,福建
544,枣庄学院,山东
547,浙江树人学院,浙江
548,平顶山学院,河南
549,湖南涉外经济学院,湖南
